"";"Gene";"B1";"B2";"B3";"B4";"Condition"
"57";"ENSMUSG00000028464.17";2520,60711048213;1067,14855576611;5238,04072440843;1227,49515951349;"FLASH"
"58";"ENSMUSG00000038170.16";3448,67378079037;2182,68168081129;6603,34683698065;2626,05013451814;"FLASH"
"59";"ENSMUSG00000095079.7";2808,9118453412;2136,98514315883;5436,8278486744;4893,06263432406;"FLASH"
"60";"ENSMUSG00000052305.7";53064,545770346;43148,2836704221;42853,9861025562;31404,5143681656;"FLASH"
"61";"ENSMUSG00000060600.16";2592,91210747853;1160,33365215543;5180,21174280378;1355,32007658381;"FLASH"
"62";"ENSMUSG00000070436.13";6546,80561411717;7734,36300031323;4176,33676526061;7382,82884990694;"FLASH"
"63";"ENSMUSG00000031097.16";1918,37055322097;882,570384071887;4704,92980024059;1073,35334775222;"FLASH"
"64";"ENSMUSG00000026249.11";6874,46623341731;8616,03737384291;5070,8788244575;9395,13140466833;"FLASH"
"65";"ENSMUSG00000018339.13";10812,8004369048;13330,8448469254;10267,3549683376;13096,4146651309;"FLASH"
"66";"ENSMUSG00000033196.18";1700,54030910523;867,338204854403;4581,13963649314;703,976932982851;"FLASH"
"67";"ENSMUSG00000047419.6";2507,79356671062;1409,4245828884;5116,05771633613;1695,55992937392;"FLASH"
"68";"ENSMUSG00000033065.15";2742,09836710402;1498,1296265667;5102,50404877254;1488,78432823076;"FLASH"
"69";"ENSMUSG00000028763.19";10641,6481022425;11485,0631299832;8998,73168438564;12343,5634991506;"FLASH"
"70";"ENSMUSG00000026365.16";7333,00804981221;8564,06876239502;5514,53554270565;9072,74944470423;"FLASH"
"71";"ENSMUSG00000061462.19";2671,62387636069;1286,67113860632;4966,06379529907;1696,49981847002;"FLASH"
"72";"ENSMUSG00000017493.13";21522,177270511;26131,2514528655;19576,0138510106;21081,7124256413;"FLASH"
"73";"ENSMUSG00000064339.1";1778,33682486085;928,26692172434;190,654923727821;270,688059678319;"FLASH"
"74";"ENSMUSG00000024471.13";1383,86272732352;699,784233462075;3739,90866971304;858,118744744117;"FLASH"
"75";"ENSMUSG00000060802.9";28655,6601387382;33898,7668432403;31277,3468475759;30610,3080819566;"FLASH"
"76";"ENSMUSG00000044938.9";1254,81203648184;727,560560270429;3421,84927088748;761,310167845273;"FLASH"
"77";"ENSMUSG00000026185.9";13618,0512697399;11511,9434462493;14796,0870902515;11927,1926295759;"FLASH"
"78";"ENSMUSG00000021798.15";1577,89639014931;711,432370510739;3531,18218923377;905,11319954938;"FLASH"
"79";"ENSMUSG00000032366.16";6833,27984272316;6116,16796109107;8828,85905092199;6055,70544620629;"FLASH"
"80";"ENSMUSG00000032332.18";9019,81956201939;9094,50700338036;6640,39352832112;8476,85975777348;"FLASH"
"81";"ENSMUSG00000030607.8";1877,18416252682;2272,28273503178;450,885340948733;3154,2678065293;"FLASH"
"82";"ENSMUSG00000026208.10";1510,16765878559;755,336887078783;3571,84319192453;914,512090510433;"FLASH"
"83";"ENSMUSG00000019787.10";1189,82906449774;715,016412679559;3221,25499094636;849,659742879169;"FLASH"
"84";"ENSMUSG00000034994.11";25425,7318551901;24002,3304045865;22174,7037118695;24016,046183682;"FLASH"
"85";"ENSMUSG00000020422.15";6746,33079570217;7951,19755152683;5530,79994378196;8229,66892549779;"FLASH"
"86";"ENSMUSG00000038670.12";1605,35398394541;642,439558760957;3416,42780386204;1075,23312594444;"FLASH"
"87";"ENSMUSG00000042082.8";3773,5886407109;5015,86701526337;2445,98520630906;4826,33050850059;"FLASH"
"88";"ENSMUSG00000044951.18";1447,93044618109;654,087695809622;3248,36232607354;814,883846323274;"FLASH"
"89";"ENSMUSG00000049134.16";1476,30329310373;667,527853942696;3243,84443688568;889,135084915591;"FLASH"
"90";"ENSMUSG00000076609.3";6849,75439900082;4927,16197158508;6887,97385581602;10820,94316346;"FLASH"
