"";"Gene";"S1";"S2";"S3";"S4";"Condition"
"57";"ENSMUSG00000059832.5";17784,5919118067;17716,2349548332;20380,1186509209;18956,9786157736;"FLASH"
"58";"ENSMUSG00000039518.8";14397,7703686268;17290,4562687123;17849,2480710373;21651,5507036552;"FLASH"
"59";"ENSMUSG00000054146.9";9374,47212621326;7945,73457858618;6538,71190116197;11236,3487969088;"FLASH"
"60";"ENSMUSG00000001506.11";16663,0410705216;16727,0198118907;18106,1125478016;19308,2983702135;"FLASH"
"61";"ENSMUSG00000005716.17";4720,99343344181;130,187969189835;708,266020489815;179,021788745723;"FLASH"
"62";"ENSMUSG00000033765.6";8178,3527653818;11245,2526173974;8958,14862715518;13654,4036617982;"FLASH"
"63";"ENSMUSG00000030399.3";3289,07632161239;218,758472818986;453,290253113481;192,469434848688;"FLASH"
"64";"ENSMUSG00000056632.9";7933,4858701147;5908,61299511573;7871,19637437681;6951,59255735151;"FLASH"
"65";"ENSMUSG00000067274.11";31899,2034426967;33907,5632869428;35869,4243416862;30940,5122492783;"FLASH"
"66";"ENSMUSG00000043430.6";9129,60523094616;12427,6154851215;9980,88476074247;12695,4183990805;"FLASH"
"67";"ENSMUSG00000026728.10";13302,4192774526;12914,219697831;15839,6612822342;15705,1696925003;"FLASH"
"68";"ENSMUSG00000086503.5";54166,9756715541;56701,1290401795;57610,3581066415;49359,5850209333;"FLASH"
"69";"ENSMUSG00000102308.2";9869,24433023032;10040,4803451407;14676,2162992429;11787,7022871303;"FLASH"
"70";"ENSMUSG00000092586.9";11546,0283373268;12802,1726751677;16550,760366806;13335,0220668527;"FLASH"
"71";"ENSMUSG00000022283.16";12918,4921700585;12018,9106310255;14289,0308747085;12716,4303461164;"FLASH"
"72";"ENSMUSG00000027288.17";5721,62235113822;3445,71272552441;3734,92281471629;3294,67329522644;"FLASH"
"73";"ENSMUSG00000060600.16";2946,46420477777;428,980029625523;537,337820878273;226,929027987536;"FLASH"
"74";"ENSMUSG00000001911.17";8563,28755547246;7469,80151089219;7834,36654131134;9167,09225281501;"FLASH"
"75";"ENSMUSG00000022462.8";11054,2791813995;8920,01011850684;11415,3595409078;9399,90462597259;"FLASH"
"76";"ENSMUSG00000061462.19";2887,01092568;502,610930232889;629,884580888942;279,879134517961;"FLASH"
"77";"ENSMUSG00000063450.15";9893,42871494806;9300,96999556234;8649,34464222162;10230,2967728307;"FLASH"
"78";"ENSMUSG00000022510.15";9833,97543585029;8182,63399793162;8602,1269075223;8001,34943126422;"FLASH"
"79";"ENSMUSG00000118667.1";11444,252384973;10761,8497481925;10498,391133047;12240,719865224;"FLASH"
