"";"Gene";"Correlation"
"1";" Lce1m";-0,8
"2";" Dstn";-0,4
"3";" Timp2";-0,4
"4";" mt-Nd4";-0,4
"5";" Krt79";-0,2
"6";" Rps7";0
"7";" Ly6g6c";0,2
"8";" Fasn";0,4
"9";" Scd1";0,4
"10";" Ttn";0,4
"11";" Actg1";0,4
"12";" Dst";0,8
"13";" Ly6d";0,8
"14";" Eef2";0,8
"15";" Rpl18a";0,8
"16";" Wnk1";0,8
"17";" Anxa8";1
"18";" Hsp90ab1";1
