"";"Gene1";"Gene2";"Difference"
"163";" Fasn";" Scd1";0
"164";" Dst";" Scd1";0,2
"165";" mt-Nd4";" Scd1";0,2
"166";" Timp2";" Scd1";1
"167";" Ttn";" Scd1";1,2
"168";" Ly6d";" Scd1";0,6
"169";" Krt79";" Scd1";0,4
"170";" Actg1";" Scd1";0
"171";" Eef2";" Scd1";0,2
"172";" Scd1";" Scd1";0
"173";" Lce1m";" Scd1";0,4
"174";" Hsp90ab1";" Scd1";0,6
"175";" Anxa8";" Scd1";0,6
"176";" Dstn";" Scd1";0,2
"177";" Rps7";" Scd1";0,4
"178";" Ly6g6c";" Scd1";0,6
"179";" Wnk1";" Scd1";0,6
"180";" Rpl18a";" Scd1";0,4
"181";" Fasn";" Lce1m";0,4
"182";" Dst";" Lce1m";1
"183";" mt-Nd4";" Lce1m";0,2
"184";" Timp2";" Lce1m";0,2
"185";" Ttn";" Lce1m";0,8
"186";" Ly6d";" Lce1m";0,6
"187";" Krt79";" Lce1m";0
"188";" Actg1";" Lce1m";0,4
"189";" Eef2";" Lce1m";1
"190";" Scd1";" Lce1m";0,4
"191";" Lce1m";" Lce1m";0
"192";" Hsp90ab1";" Lce1m";0,6
"193";" Anxa8";" Lce1m";0,6
"194";" Dstn";" Lce1m";0,2
"195";" Rps7";" Lce1m";0,8
"196";" Ly6g6c";" Lce1m";0,6
"197";" Wnk1";" Lce1m";1,4
"198";" Rpl18a";" Lce1m";1,6
"199";" Fasn";" Hsp90ab1";0,6
"200";" Dst";" Hsp90ab1";0,2
"201";" mt-Nd4";" Hsp90ab1";1
"202";" Timp2";" Hsp90ab1";0,2
"203";" Ttn";" Hsp90ab1";0,2
"204";" Ly6d";" Hsp90ab1";0,2
"205";" Krt79";" Hsp90ab1";1,2
"206";" Actg1";" Hsp90ab1";0,6
"207";" Eef2";" Hsp90ab1";0,2
"208";" Scd1";" Hsp90ab1";0,6
"209";" Lce1m";" Hsp90ab1";0,6
"210";" Hsp90ab1";" Hsp90ab1";0
"211";" Anxa8";" Hsp90ab1";0
"212";" Dstn";" Hsp90ab1";0,8
"213";" Rps7";" Hsp90ab1";1,2
"214";" Ly6g6c";" Hsp90ab1";0,4
"215";" Wnk1";" Hsp90ab1";0,4
"216";" Rpl18a";" Hsp90ab1";0,6
"217";" Fasn";" Anxa8";0,6
"218";" Dst";" Anxa8";0,4
"219";" mt-Nd4";" Anxa8";0,8
"220";" Timp2";" Anxa8";0,8
"221";" Ttn";" Anxa8";0,2
"222";" Ly6d";" Anxa8";0,4
"223";" Krt79";" Anxa8";1,2
"224";" Actg1";" Anxa8";0,6
"225";" Eef2";" Anxa8";0,4
"226";" Scd1";" Anxa8";0,6
"227";" Lce1m";" Anxa8";0,6
"228";" Hsp90ab1";" Anxa8";0
"229";" Anxa8";" Anxa8";0
"230";" Dstn";" Anxa8";1
