"";"LHS";"RHS";"support";"confidence";"coverage";"lift";"count"
"52";" Actn3=[3.21e+03,7.9e+03]";" Myh1=[7.4e+03,1.4e+04]";0,5;1;0,5;2;2
"53";" Myh1=[7.4e+03,1.4e+04]";" Atp2a1=[1.6e+04,3.59e+04]";0,5;1;0,5;2;2
"54";" Atp2a1=[1.6e+04,3.59e+04]";" Myh1=[7.4e+03,1.4e+04]";0,5;1;0,5;2;2
"55";" Myh1=[7.4e+03,1.4e+04]";" Acta1=[1.47e+04,3.34e+04]";0,5;1;0,5;2;2
"56";" Acta1=[1.47e+04,3.34e+04]";" Myh1=[7.4e+03,1.4e+04]";0,5;1;0,5;2;2
"57";" Myh1=[7.4e+03,1.4e+04]";" Pkm=[3.22e+03,3.94e+03]";0,5;1;0,5;2;2
"58";" Pkm=[3.22e+03,3.94e+03]";" Myh1=[7.4e+03,1.4e+04]";0,5;1;0,5;2;2
"59";" Myh1=[7.4e+03,1.4e+04]";" Hemgn=[4.2e+03,5.12e+03]";0,5;1;0,5;2;2
"60";" Hemgn=[4.2e+03,5.12e+03]";" Myh1=[7.4e+03,1.4e+04]";0,5;1;0,5;2;2
"61";" Myh1=[7.4e+03,1.4e+04]";" Myh2=[1.7e+03,4.58e+03]";0,5;1;0,5;2;2
"62";" Myh2=[1.7e+03,4.58e+03]";" Myh1=[7.4e+03,1.4e+04]";0,5;1;0,5;2;2
"63";" Myh1=[7.4e+03,1.4e+04]";" Myot=[1.38e+03,3.74e+03]";0,5;1;0,5;2;2
"64";" Myot=[1.38e+03,3.74e+03]";" Myh1=[7.4e+03,1.4e+04]";0,5;1;0,5;2;2
"65";" Myh1=[7.4e+03,1.4e+04]";" Des=[1.51e+03,3.57e+03]";0,5;1;0,5;2;2
"66";" Des=[1.51e+03,3.57e+03]";" Myh1=[7.4e+03,1.4e+04]";0,5;1;0,5;2;2
"67";" Myh1=[7.4e+03,1.4e+04]";" Pde4dip=[3.45e+03,6.6e+03]";0,5;1;0,5;2;2
"68";" Pde4dip=[3.45e+03,6.6e+03]";" Myh1=[7.4e+03,1.4e+04]";0,5;1;0,5;2;2
"69";" Myh1=[7.4e+03,1.4e+04]";" Fech=[6.44e+03,8.46e+03]";0,5;1;0,5;2;2
"70";" Fech=[6.44e+03,8.46e+03]";" Myh1=[7.4e+03,1.4e+04]";0,5;1;0,5;2;2
"71";" Myh1=[7.4e+03,1.4e+04]";" Ldb3=[1.58e+03,3.53e+03]";0,5;1;0,5;2;2
"72";" Ldb3=[1.58e+03,3.53e+03]";" Myh1=[7.4e+03,1.4e+04]";0,5;1;0,5;2;2
"73";" H1f5=[6.03e+03,7.86e+03]";" mt-Rnr2=[928,1.78e+03]";0,5;1;0,5;2;2
"74";" mt-Rnr2=[928,1.78e+03]";" H1f5=[6.03e+03,7.86e+03]";0,5;1;0,5;2;2
"75";" H1f5=[6.03e+03,7.86e+03]";" H3c3=[6.33e+03,9.03e+03]";0,5;1;0,5;2;2
"76";" H3c3=[6.33e+03,9.03e+03]";" H1f5=[6.03e+03,7.86e+03]";0,5;1;0,5;2;2
"77";" H1f5=[6.03e+03,7.86e+03]";" H2bc15=[3.69e+03,5.77e+03]";0,5;1;0,5;2;2
"78";" H2bc15=[3.69e+03,5.77e+03]";" H1f5=[6.03e+03,7.86e+03]";0,5;1;0,5;2;2
"79";" H1f5=[6.03e+03,7.86e+03]";" H3c11=[5.16e+03,6.37e+03]";0,5;1;0,5;2;2
"80";" H3c11=[5.16e+03,6.37e+03]";" H1f5=[6.03e+03,7.86e+03]";0,5;1;0,5;2;2
"81";" H1f5=[6.03e+03,7.86e+03]";" Rn18s-rs5=[8.47e+03,2.88e+04]";0,5;1;0,5;2;2
"82";" Rn18s-rs5=[8.47e+03,2.88e+04]";" H1f5=[6.03e+03,7.86e+03]";0,5;1;0,5;2;2
"83";" H1f5=[6.03e+03,7.86e+03]";" Alas2=[4.85e+03,6.54e+03]";0,5;1;0,5;2;2
"84";" Alas2=[4.85e+03,6.54e+03]";" H1f5=[6.03e+03,7.86e+03]";0,5;1;0,5;2;2
"85";" H1f5=[6.03e+03,7.86e+03]";" Igfbp4=[2.15e+04,2.61e+04]";0,5;1;0,5;2;2
"86";" Igfbp4=[2.15e+04,2.61e+04]";" H1f5=[6.03e+03,7.86e+03]";0,5;1;0,5;2;2
"87";" H1f5=[6.03e+03,7.86e+03]";" Itm2b=[8.14e+03,8.91e+03]";0,5;1;0,5;2;2
"88";" Itm2b=[8.14e+03,8.91e+03]";" H1f5=[6.03e+03,7.86e+03]";0,5;1;0,5;2;2
"89";" H1f5=[6.03e+03,7.86e+03]";" Mpo=[2.61e+03,3.03e+03]";0,5;1;0,5;2;2
"90";" Mpo=[2.61e+03,3.03e+03]";" H1f5=[6.03e+03,7.86e+03]";0,5;1;0,5;2;2
"91";" Naca=[5.28e+03,6.89e+03]";" Cd24a=[9.85e+03,1.22e+04]";0,5;1;0,5;2;2
"92";" Cd24a=[9.85e+03,1.22e+04]";" Naca=[5.28e+03,6.89e+03]";0,5;1;0,5;2;2
"93";" Naca=[5.28e+03,6.89e+03]";" Hectd4=[5.32e+03,7.08e+03]";0,5;1;0,5;2;2
"94";" Hectd4=[5.32e+03,7.08e+03]";" Naca=[5.28e+03,6.89e+03]";0,5;1;0,5;2;2
"95";" Naca=[5.28e+03,6.89e+03]";" Epb41=[7.03e+03,8.22e+03]";0,5;1;0,5;2;2
"96";" Epb41=[7.03e+03,8.22e+03]";" Naca=[5.28e+03,6.89e+03]";0,5;1;0,5;2;2
"97";" Naca=[5.28e+03,6.89e+03]";" Actn3=[3.21e+03,7.9e+03]";0,5;1;0,5;2;2
"98";" Actn3=[3.21e+03,7.9e+03]";" Naca=[5.28e+03,6.89e+03]";0,5;1;0,5;2;2
"99";" Naca=[5.28e+03,6.89e+03]";" Atp2a1=[1.6e+04,3.59e+04]";0,5;1;0,5;2;2
"100";" Atp2a1=[1.6e+04,3.59e+04]";" Naca=[5.28e+03,6.89e+03]";0,5;1;0,5;2;2
"101";" Naca=[5.28e+03,6.89e+03]";" Acta1=[1.47e+04,3.34e+04]";0,5;1;0,5;2;2
"102";" Acta1=[1.47e+04,3.34e+04]";" Naca=[5.28e+03,6.89e+03]";0,5;1;0,5;2;2
"103";" Naca=[5.28e+03,6.89e+03]";" Pkm=[3.22e+03,3.94e+03]";0,5;1;0,5;2;2
"104";" Pkm=[3.22e+03,3.94e+03]";" Naca=[5.28e+03,6.89e+03]";0,5;1;0,5;2;2
"105";" Naca=[5.28e+03,6.89e+03]";" Hemgn=[4.2e+03,5.12e+03]";0,5;1;0,5;2;2
