"";"LHS";"RHS"
"1";" Fasn";" Scd1"
"2";" Scd1";" Fasn"
"3";" Ly6g6c";" Dstn"
"4";" Dstn";" Ly6g6c"
"5";" Eef2";" Dst"
"6";" Dst";" Eef2"
"7";" Eef2";" Hsp90ab1"
"8";" Hsp90ab1";" Eef2"
"9";" Dst";" Hsp90ab1"
"10";" Hsp90ab1";" Dst"
