"";"baseMean";"log2FoldChange";"lfcSE";"stat";"pvalue";"padj";"gene_name"
"ENSMUSG00000000282.13";464,490757722229;0,0617943137887628;0,14375900039801;0,42984657390271;0,667307251188546;0,999566129306685;" Mnt"
"ENSMUSG00000000290.14";490,330340195703;0,0210340594152161;0,475495724823117;0,0442360642107575;0,964716235095275;0,999566129306685;" Itgb2"
"ENSMUSG00000000295.14";93,264797406563;0,191986437186057;0,19842834274876;0,967535355718513;0,333276475577451;0,999566129306685;" Hddc2"
"ENSMUSG00000000296.9";46,2386394427504;0,127549050420463;0,388714553206324;0,328130370649544;0,742813091652347;0,999566129306685;" Tpd52l1"
"ENSMUSG00000000301.17";32,5091671679021;0,0418219162824394;0,294191863798935;0,14215864348656;0,886954697669555;0,999566129306685;" Pemt"
"ENSMUSG00000000303.14";9553,95133564993;0,234422471387849;0,152973970932132;1,5324337203213;0,125415441659324;0,999566129306685;" Cdh1"
"ENSMUSG00000000305.13";343,559507310303;-0,131876733856336;0,235294704908905;-0,560474720021398;0,5751556782186;0,999566129306685;" Cdh4"
"ENSMUSG00000000308.15";2682,5529872929;0,473184963248779;0,300349699633153;1,57544676697439;0,115153356710864;0,999566129306685;" Ckmt1"
"ENSMUSG00000000317.12";93,3941097278101;-0,14939558394405;0,385997591654618;-0,387037606384151;0,698728367483234;0,999566129306685;" Bcl6b"
"ENSMUSG00000000318.17";502,110188193252;-0,101216028859799;0,463665626063432;-0,218295304137884;0,827199032996836;0,999566129306685;" Clec10a"
"ENSMUSG00000000320.11";324,358599056128;-0,312135654615858;0,217073900521;-1,43792346231721;0,150455771784755;0,999566129306685;" Alox12"
"ENSMUSG00000000326.14";1342,47978044933;-0,0877263961879302;0,126150103762765;-0,695412794530128;0,48679664461658;0,999566129306685;" Comt"
"ENSMUSG00000000339.15";292,359317370051;0,0267159574086608;0,141630680938682;0,188631144266172;0,850381921396871;0,999566129306685;" Rtca"
"ENSMUSG00000000340.11";523,171010661324;-0,0312860760701368;0,120801852800773;-0,258986723669991;0,795645484087495;0,999566129306685;" Dbt"
"ENSMUSG00000000346.10";3592,25938913558;0,125901664838301;0,110050912662601;1,14403108336135;0,252610746435729;0,999566129306685;" Dazap2"
"ENSMUSG00000000355.14";461,189575057517;-0,0679681069336442;0,123155181292704;-0,551889950712703;0,581023753879215;0,999566129306685;" Mcts1"
"ENSMUSG00000000359.4";39,8203498383682;0,109325892634378;0,673926700317148;0,162222230671272;0,871130854120602;0,999566129306685;" Rem1"
"ENSMUSG00000000374.9";2268,03083808616;0,139741718586768;0,123699515885943;1,12968686729233;0,258608192898918;0,999566129306685;" Trappc10"
"ENSMUSG00000000378.16";470,116804487974;0,0595084003524277;0,131988703938579;0,450859797669656;0,652090600086521;0,999566129306685;" Ccm2"
"ENSMUSG00000000384.16";844,757386088263;0,0533575275484223;0,164976085827096;0,323425830361522;0,746372770034879;0,999566129306685;" Tbrg4"
"ENSMUSG00000000385.9";54,1231645558141;0,658457080491839;0,250081718006978;2,63296767848286;0,00846424018041965;0,999566129306685;" Tmprss2"
"ENSMUSG00000000386.19";102,842619818781;0,0436426734997788;0,466750497240122;0,093503218010128;0,925503793294502;0,999566129306685;" Mx1"
"ENSMUSG00000000392.18";285,002451062389;-0,158713935036388;0,409878957830385;-0,387221476009671;0,698592252369146;0,999566129306685;" Fap"
"ENSMUSG00000000399.11";525,04900848594;0,10555807683955;0,170184542836983;0,620256546686867;0,535088898262791;0,999566129306685;" Ndufa9"
"ENSMUSG00000000402.3";98,6968108715948;0,217728472424457;0,280298675688298;0,776773104224648;0,437292647543916;0,999566129306685;" Egfl6"
"ENSMUSG00000000409.15";36,7241615917599;-0,0186878831902587;0,418848878070879;-0,0446172454283054;0,964412396484102;0,999566129306685;" Lck"
"ENSMUSG00000000416.17";1194,87468289003;0,0659316171064906;0,148940957247055;0,4426694867895;0,658004816079453;0,999566129306685;" Cttnbp2"
"ENSMUSG00000000420.16";1616,65472560556;0,1048410099057;0,0830395870274861;1,26254252530179;0,206753634325419;0,999566129306685;" Galnt1"
"ENSMUSG00000000439.10";448,760046160249;0,00879852051641299;0,138710801694256;0,0634306802999132;0,949423557087706;0,999566129306685;" Mkrn2"
"ENSMUSG00000000440.13";386,124672463361;-0,573162678578521;0,3682073475915;-1,55663020395346;0,119558308432137;0,999566129306685;" Pparg"
