"";"logFC";"logCPM";"PValue";"FDR";"gene_id";"gene_name"
"51";-0,60520536067303;5,44294265951038;0,000146145641204251;0,0589912582319747;"ENSMUSG00000057596.14";" Trim30d"
"52";-0,620309010946388;6,03864810642911;0,000155895801637004;0,0617167494711418;"ENSMUSG00000024675.20";" Ms4a4c"
"53";-0,461460820195486;6,24179649574409;0,000181741625377978;0,0705911905666236;"ENSMUSG00000038507.7";" Parp12"
"54";-0,50218243058557;5,96544828872695;0,000187358229991149;0,0714251207888481;"ENSMUSG00000057143.16";" Trim12c"
"55";-2,01315105575716;2,57972624347076;0,000201805525224587;0,0755339734958791;"ENSMUSG00000093896.3";" Ighv1-76"
"56";-0,961599063309284;2,50842224025454;0,000239937990550526;0,0882029191691631;"ENSMUSG00000044703.6";" Phf11a"
"57";-0,474053839602074;9,79531082921684;0,000246301848731113;0,088728283236658;"ENSMUSG00000070327.16";" Rnf213"
"58";-0,645569602534636;4,95406281737026;0,000254078674694752;0,088728283236658;"ENSMUSG00000066677.13";" Ifi208"
"59";-1,03673605581083;1,34216970776403;0,000254297518263034;0,088728283236658;"ENSMUSG00002075486.1";" Gm55632"
"60";-0,995028956926613;1,51064756698765;0,000273404490359957;0,0905760420809567;"ENSMUSG00000050621.8";" Rps27rt"
"61";0,715921199142759;3,64415771162407;0,000274567901465433;0,0905760420809567;"ENSMUSG00000006154.14";" Eps8l1"
"62";-0,700991429732329;5,99776609660226;0,000275677370139185;0,0905760420809567;"ENSMUSG00000073489.7";" Ifi204"
"63";1,00089310612226;0,829127784177666;0,000277192783984274;0,0905760420809567;"ENSMUSG00000065728.3";" Gm26175"
"64";-0,614791302589907;3,77361863597806;0,000289926038153227;0,0906982578032801;"ENSMUSG00000045868.13";" Gvin1"
"65";-1,16503898529069;4,95305971689067;0,000292875824797025;0,0906982578032801;"ENSMUSG00000076614.8";" Ighg1"
"66";0,945878092139453;0,733683236068586;0,000293817959494549;0,0906982578032801;"ENSMUSG00000081995.2";" Gm11719"
"67";-0,524789227841474;5,41995328045057;0,000302598275996172;0,0906982578032801;"ENSMUSG00000069793.13";" Slfn9"
"68";-0,46096566729721;6,47528750177654;0,000303073422160319;0,0906982578032801;"ENSMUSG00000040033.18";" Stat2"
"69";-1,12178420078413;0,517368038760195;0,000304001738483743;0,0906982578032801;"ENSMUSG00000047528.14";" Flacc1"
"70";0,625821628892845;3,2604216008611;0,000314017116237923;0,0923479479267699;"ENSMUSG00000077391.3";" Gm24336"
"71";-0,936058103120557;5,26969602885673;0,000319931165410596;0,0927620136780638;"ENSMUSG00000002289.17";" Angptl4"
"72";-1,35520214928499;1,53137875650739;0,000346805439243564;0,099157455170389;"ENSMUSG00000001349.6";" Cnn1"
"73";-0,643526310148671;5,32721968207698;0,000379637861796288;0,107057877026553;"ENSMUSG00000046718.9";" Bst2"
"74";-0,663160670340556;3,4968472531104;0,000388381897294584;0,108043645104139;"ENSMUSG00000104713.5";" Gbp6"
"75";-1,68037276138357;0,463770608747502;0,00042701428153777;0,117206879996487;"ENSMUSG00002075680.1";" Gm55531"
"76";-0,559357830019027;8,16422585123308;0,000446784374841068;0,119711305613689;"ENSMUSG00000033880.12";" Lgals3bp"
"77";-2,65071826735969;1,54086885237631;0,000447768897904114;0,119711305613689;"ENSMUSG00000094689.2";" Ighv1-81"
"78";-0,393998796793923;6,42424574070461;0,000490526321980067;0,129461216208739;"ENSMUSG00000024079.5";" Eif2ak2"
"79";-0,439999085029525;7,86881018388523;0,000511358037487484;0,133250842528068;"ENSMUSG00000034422.15";" Parp14"
"80";-2,00354276663928;1,5101306857701;0,000529892483423035;0,135299252793642;"ENSMUSG00000076652.5";" Ighv7-3"
"81";-1,36351372339754;1,45439806490983;0,000532363716908823;0,135299252793642;"ENSMUSG00000076587.4";" Igkv6-20"
"82";-0,724736483756758;3,85959773193161;0,000539399108239979;0,135415488319856;"ENSMUSG00000037362.9";" Ccn3"
"83";0,653595457057388;5,05994891710697;0,000555303944804992;0,137728759129585;"ENSMUSG00000066687.6";" Zbtb16"
"84";3,13517136312942;1,6579627262856;0,000602440238664411;0,1476408899184;"ENSMUSG00000095633.3";" Igkv4-58"
"85";-0,69478240552361;4,15015724276257;0,000620812340884629;0,14992718469362;"ENSMUSG00000091649.4";" Phf11b"
"86";0,806528516946613;1,41033132817144;0,000626335270749602;0,14992718469362;"ENSMUSG00000098101.2";" Gm27006"
"87";-0,468135070201282;6,22382721347149;0,000660063252674026;0,156184622063764;"ENSMUSG00000026104.15";" Stat1"
"88";-0,656074932281574;4,32540047409749;0,00067610173747623;0,158161708723701;"ENSMUSG00000050299.9";" Gm9843"
"89";-3,41348059690254;2,91407425943482;0,000704329145936562;0,162913705598315;"ENSMUSG00000076535.2";" Igkv1-88"
"90";-0,643414569334589;3,53068249268358;0,000751471209376363;0,170035036797523;"ENSMUSG00000036395.16";" Glb1l2"
"91";-3,53424275070825;3,2785001121965;0,000751636468890246;0,170035036797523;"ENSMUSG00000064201.9";" Krt2"
"92";-1,01756152159441;0,509616394598567;0,000777649434963898;0,174007513784422;"ENSMUSG00000003271.18";" Sult2b1"
"93";0,625475044849011;2,53807624189846;0,000807708279383323;0,178790135907367;"ENSMUSG00000034035.19";" Ccdc17"
"94";-1,40660414518882;0,272937422229614;0,000851998112167387;0,184877183901222;"ENSMUSG00000105096.2";" Gbp10"
"95";1,14333955637505;4,67479594643531;0,000853168778325858;0,184877183901222;"ENSMUSG00000096768.10";" Erdr1y"
"96";-0,528786590865745;6,00030166627309;0,000870701567333363;0,185905734096283;"ENSMUSG00000060519.12";" Tor3a"
"97";-1,34353852827177;-0,264578162752773;0,000886327257967453;0,185905734096283;"ENSMUSG00000107736.3";" Gm44148"
"98";-0,554022055599448;5,18737284964749;0,000886444576698447;0,185905734096283;"ENSMUSG00000073555.2";" Iigp1c"
"99";-0,913273289952418;4,01696978070836;0,000894038068373264;0,185905734096283;"ENSMUSG00000059089.5";" Fcgr4"
"100";-1,31789978469632;1,11793416477132;0,000983730600277356;0,202510781373096;"ENSMUSG00000061080.12";" Lsamp"
"101";-0,44191535494901;4,25211148454565;0,00100154888295333;0,203896842833051;"ENSMUSG00000074677.12";" Sirpb1c"
"102";-0,436012759443837;5,93056069523134;0,00101027290240801;0,203896842833051;"ENSMUSG00000029298.16";" Gbp9"
"103";-2,45198222422554;1,17458823806737;0,00103040851888471;0,205941648250103;"ENSMUSG00000094194.3";" Ighv5-16"
"104";-1,98588826115052;0,176374460254889;0,00110037256449923;0,216923563256877;"ENSMUSG00000047586.5";" Nccrp1"
"105";-0,650592435414105;2,28765342871194;0,00110643029932828;0,216923563256877;"ENSMUSG00000035385.6";" Ccl2"
"106";-0,91781757583735;0,808734508301014;0,00115526712910866;0,224361595470102;"ENSMUSG00000086763.3";" Plxna4os1"
"107";-0,759424257586778;1,64651260074737;0,00117556774911122;0,225353409245703;"ENSMUSG00000107470.3";" Gm3375"
"108";-0,498317546208857;5,0171949360292;0,00119204230544642;0,225353409245703;"ENSMUSG00000035273.15";" Hpse"
"109";-0,674479312856336;5,59315832190635;0,00119321488427969;0,225353409245703;"ENSMUSG00000035783.10";" Acta2"
"110";-3,16535632636429;1,71712428756312;0,00123846951841767;0,231773940964965;"ENSMUSG00000102439.5";" Flg"
"111";-1,14700881648543;0,114018104560004;0,0012751616331937;0,236490787215545;"ENSMUSG00000028182.15";" Lrriq3"
"112";-0,860520980390772;0,949139302029024;0,00136526218957207;0,250595633743314;"ENSMUSG00000061769.3";" Klra6"
"113";-0,709476672010969;3,80323053377794;0,00137556138215265;0,250595633743314;"ENSMUSG00000082292.4";" Gm12250"
"114";-0,823519994351634;1,33059142599857;0,0014120560423218;0,254987593747689;"ENSMUSG00000110686.2";" Gm45855"
"115";-0,507773509200273;6,89335135598794;0,00142599866419743;0,255266160879723;"ENSMUSG00000028494.13";" Plin2"
"116";-0,949943735701149;1,63835368202086;0,00148870655212295;0,262476390852323;"ENSMUSG00000047976.5";" Kcna1"
"117";-3,39543533296814;1,08564107503495;0,00149177779703302;0,262476390852323;"ENSMUSG00000033765.6";" Calm4"
"118";-0,580978334041926;7,45665609760585;0,00153427719808174;0,267666359319582;"ENSMUSG00000025492.7";" Ifitm3"
"119";-0,391290468965828;6,72077291725703;0,00161149477961058;0,278775054899692;"ENSMUSG00000040296.16";" Rigi"
"120";-0,780891759726335;3,94274412136685;0,00173087868923865;0,29693223913889;"ENSMUSG00000107176.2";" Gm9794"
"121";-0,392311802133746;4,63966137249715;0,00175430107334448;0,298461874132764;"ENSMUSG00000001025.9";" S100a6"
"122";-0,821911927491955;1,99844745895397;0,00176879183154557;0,298461874132764;"ENSMUSG00000078616.3";" Trim30c"
"123";-0,500309425028126;4,08345305240031;0,00185095662688903;0,309786935944208;"ENSMUSG00000026012.3";" Cd28"
"124";-2,4571060978576;0,52822593671328;0,00188217771338905;0,310357885365938;"ENSMUSG00000028749.8";" Pla2g2f"
"125";-0,422987326844275;6,4219798922888;0,00188452033764414;0,310357885365938;"ENSMUSG00000067212.9";" H2-T23"
"126";-1,77862245506018;1,31121302334104;0,00194743276355071;0,317405830570744;"ENSMUSG00000076552.4";" Igkv4-61"
"127";-0,383940366451516;7,33922903759986;0,00195815313720414;0,317405830570744;"ENSMUSG00000031283.18";" Chrdl1"
"128";-0,466277681145398;6,90343172791038;0,0019763229631726;0,317848316561493;"ENSMUSG00000073490.12";" Ifi207"
"129";-0,419935989773571;6,43809222730282;0,00200717483396467;0,320307760713152;"ENSMUSG00000040253.16";" Gbp7"
"130";-0,476850683504001;6,39424219908028;0,00203903557573311;0,32288912586186;"ENSMUSG00000035208.17";" Slfn8"
"131";-0,574915208932121;2,59455555387793;0,00209047615001985;0,328507954384035;"ENSMUSG00000031538.7";" Plat"
"132";-0,570889045564529;3,14445624678073;0,00210972490192113;0,329021188113246;"ENSMUSG00000100801.2";" Gm15459"
"133";-0,528204315537693;5,20290379365377;0,00222361146721859;0,344174929805729;"ENSMUSG00000078853.9";" Igtp"
"134";-0,627563123272824;2,09600033963156;0,00224776412189943;0,345316956816579;"ENSMUSG00000039699.15";" Batf2"
"135";-1,0185905623786;1,91197276112519;0,00236305733395755;0,360339987235927;"ENSMUSG00000021696.10";" Elovl7"
"136";1,36471196417037;0,612317500315828;0,00243812365249842;0,36905304051715;"ENSMUSG00000076695.9";" Ighv1-18"
"137";-1,1383665655918;-0,0586552146558305;0,0024985557690919;0,373915172137944;"ENSMUSG00000079543.4";" Igkv13-85"
"138";-1,29160956830223;4,1319836544698;0,00251388054975707;0,373915172137944;"ENSMUSG00000056569.12";" Mpz"
"139";-0,686954666696684;2,88005635860829;0,0025369024985524;0,373915172137944;"ENSMUSG00000081926.2";" Gm15536"
"140";-0,484500388867336;5,01016628400959;0,00254413508554086;0,373915172137944;"ENSMUSG00000028268.15";" Gbp3"
"141";-1,20614007723627;0,363453860302234;0,00256133813470681;0,373915172137944;"ENSMUSG00000046167.6";" Gldn"
"142";-1,07554811701617;0,627762372016565;0,00257922638898223;0,373915172137944;"ENSMUSG00000116757.2";" Gm4786"
"143";-1,42310763839064;-0,00776564293935146;0,00263202544383312;0,378901229277962;"ENSMUSG00000083626.2";" Gm4459"
