"";"baseMean";"log2FoldChange";"lfcSE";"stat";"pvalue";"padj";"gene_name"
"ENSMUSG00000000278.11";850,495992647336;-0,0823009387684397;0,112587997107334;-0,730992120678542;0,464783965707361;0,999989001637815;" Scpep1"
"ENSMUSG00000000282.13";563,332307848148;0,0781914097267234;0,124092795435286;0,630104346126202;0,528626316357593;0,999989001637815;" Mnt"
"ENSMUSG00000000290.14";2637,51743189177;-0,109205752319987;0,159715402267971;-0,683752166473972;0,494131676225418;0,999989001637815;" Itgb2"
"ENSMUSG00000000295.14";69,1194558429238;0,0914683768509986;0,229270169118591;0,398954548699644;0,689926694658664;0,999989001637815;" Hddc2"
"ENSMUSG00000000296.9";17,293570151289;0,103541872129841;0,420310567033713;0,246346107499925;0,805414320794115;NA;" Tpd52l1"
"ENSMUSG00000000301.17";30,149790933798;0,0657608840318208;0,349179006869737;0,188330004777043;0,850617965757626;0,999989001637815;" Pemt"
"ENSMUSG00000000303.14";72,4537792163562;-0,618689727568367;0,302151912488082;-2,04761148944497;0,0405980826573506;0,999989001637815;" Cdh1"
"ENSMUSG00000000305.13";59,1910276500134;-0,479973080158643;0,237834473691416;-2,01809717787756;0,0435811415483436;0,999989001637815;" Cdh4"
"ENSMUSG00000000308.15";11,3447510738126;-1,02573930362788;0,537688690952249;-1,90768249525816;0,0564322655159836;NA;" Ckmt1"
"ENSMUSG00000000317.12";215,203350881823;-0,130253796009675;0,145066960482898;-0,897887400246667;0,369245582603593;0,999989001637815;" Bcl6b"
"ENSMUSG00000000318.17";662,966341336543;-0,193934702557245;0,162203611450499;-1,19562505928809;0,231842907862507;0,999989001637815;" Clec10a"
"ENSMUSG00000000320.11";327,801158870269;0,0278070160868843;0,160315302880994;0,17345203849645;0,862296124121247;0,999989001637815;" Alox12"
"ENSMUSG00000000326.14";1412,62078487536;0,0129919637777536;0,124394591037438;0,104441549020756;0,91681895160521;0,999989001637815;" Comt"
"ENSMUSG00000000339.15";306,18454719852;-0,0976179265939399;0,117144340780507;-0,833313209528804;0,404668108301374;0,999989001637815;" Rtca"
"ENSMUSG00000000340.11";281,874534859442;-0,141164332647264;0,141592647902304;-0,996975017690642;0,318776636339104;0,999989001637815;" Dbt"
"ENSMUSG00000000346.10";4082,74857350601;-0,103718446926108;0,113857662046031;-0,910948328485585;0,362322599832152;0,999989001637815;" Dazap2"
"ENSMUSG00000000355.14";338,032316421653;0,0232299257254873;0,135727878917461;0,17115073123344;0,864105246558339;0,999989001637815;" Mcts1"
"ENSMUSG00000000359.4";33,1160805418959;-0,256161658710223;0,322642471046306;-0,793948973548055;0,427225137527673;0,999989001637815;" Rem1"
"ENSMUSG00000000365.10";34,8475989899999;0,0127672084592376;0,45436618690048;0,0280989405182874;0,977583239084992;0,999989001637815;" Rnf17"
"ENSMUSG00000000374.9";2297,31592143514;0,0153871139851685;0,105157655644452;0,146324239456172;0,883665431477416;0,999989001637815;" Trappc10"
"ENSMUSG00000000378.16";938,815779718898;0,0253926694213729;0,103917430656933;0,244354284558891;0,806956444355981;0,999989001637815;" Ccm2"
"ENSMUSG00000000384.16";876,776788628064;0,209043482288242;0,127989988750153;1,63327994892094;0,102410131901759;0,999989001637815;" Tbrg4"
"ENSMUSG00000000385.9";19,8422138198229;-0,688061960255356;0,397585357011854;-1,73060186478357;0,0835227988767773;NA;" Tmprss2"
"ENSMUSG00000000386.19";377,457211036034;-0,74241369290391;0,147531798647536;-5,03222830406607;4,84811417274699e-07;0,000737442239440024;" Mx1"
"ENSMUSG00000000392.18";3191,64382866976;0,115520052212939;0,151165889594666;0,764193909900522;0,44475169527356;0,999989001637815;" Fap"
"ENSMUSG00000000399.11";448,746857074141;-0,14296472933121;0,136318711821869;-1,04875352341963;0,294291573203336;0,999989001637815;" Ndufa9"
"ENSMUSG00000000402.3";15,1904295212298;-0,710777344441934;0,437040544710668;-1,62634188759875;0,103876945667148;NA;" Egfl6"
"ENSMUSG00000000409.15";389,096596306212;-0,0509708237315219;0,135593272497632;-0,375909680418784;0,706984043533538;0,999989001637815;" Lck"
"ENSMUSG00000000416.17";76,1646743021544;0,0961941198257735;0,202547394149709;0,47492153739916;0,634842899700946;0,999989001637815;" Cttnbp2"
"ENSMUSG00000000420.16";2348,59893359677;-0,0233390261426433;0,109018964107017;-0,214082259300619;0,830482910117195;0,999989001637815;" Galnt1"
"ENSMUSG00000000439.10";397,707134367219;0,0436788921323455;0,14122377283869;0,30928852313156;0,75710206049285;0,999989001637815;" Mkrn2"
"ENSMUSG00000000440.13";1095,2275953537;0,0262304398112227;0,109948982269912;0,238569191544038;0,811439656956923;0,999989001637815;" Pparg"
"ENSMUSG00000000441.18";894,624579901134;-0,0258662821675865;0,09617376321462;-0,268953624179846;0,787965370598472;0,999989001637815;" Raf1"
"ENSMUSG00000000486.14";510,812366869864;0,0137633555599872;0,142533350469531;0,0965623520014662;0,923073955479379;0,999989001637815;" Septin1"
"ENSMUSG00000000489.8";776,184535555943;0,00496423321098696;0,155983599479923;0,0318253536111399;0,974611327616635;0,999989001637815;" Pdgfb"
"ENSMUSG00000000530.17";524,335705658238;-0,130876645713512;0,136342745710547;-0,959909124841598;0,337100953367414;0,999989001637815;" Acvrl1"
"ENSMUSG00000000531.6";47,4368766097547;0,0796531929621493;0,24427467069134;0,326080443529888;0,744363492886933;0,999989001637815;" Tamalin"
"ENSMUSG00000000532.12";534,347708598571;-0,0350306395760725;0,158508999645323;-0,221000950447334;0,825091692925976;0,999989001637815;" Acvr1b"
"ENSMUSG00000000538.19";810,235182815848;0,0566658774869782;0,0968067422367112;0,585350525983192;0,558312047726936;0,999989001637815;" Tom1l2"
"ENSMUSG00000000552.11";786,053189797572;-0,180941901842387;0,14332381315611;-1,2624692146957;0,206779997111677;0,999989001637815;" Zfp385a"
"ENSMUSG00000000555.9";881,150593155511;-0,00956441078375677;0,103973163169575;-0,0919892257981769;0,926706599862625;0,999989001637815;" Itga5"
"ENSMUSG00000000561.15";295,988850765348;-0,114047875865136;0,115440409295742;-0,987937209863503;0,323183400524397;0,999989001637815;" Wdr77"
"ENSMUSG00000000562.6";18,9762735927072;-0,0801368730911803;0,377541660023056;-0,212259683040771;0,8319044470187;NA;" Adora3"
"ENSMUSG00000000563.18";1529,71510891655;-0,114039183020777;0,125174782936776;-0,911039590764667;0,362274513826175;0,999989001637815;" Atp5pb"
