"";"logFC";"AveExpr";"t";"P.Value";"adj.P.Val";"B";"gene_id";"gene_name"
"761";-1,18899505982318;-0,479567191131363;-4,36706750433572;0,0019809806499229;0,912172177062779;-4,4310553043876;"ENSMUSG00000005553.15";" Atp4a"
"762";0,281085260859178;6,56570538676997;1,4882510420626;0,172187286254522;0,912172177062779;-4,43395410210588;"ENSMUSG00000005566.15";" Trim28"
"763";0,115010185651538;6,60053081568238;1,14621433984885;0,282407786491222;0,912172177062779;-4,59422822369391;"ENSMUSG00000005575.17";" Ube2m"
"764";0,0358508058681357;4,67935497641841;0,311386417605439;0,762876292650154;0,959671621786505;-4,79775344218633;"ENSMUSG00000005580.12";" Adcy9"
"765";0,168724536563189;5,72218424200247;0,212332836107117;0,836763542086853;0,973781478188367;-4,84769737342234;"ENSMUSG00000005583.17";" Mef2c"
"766";0,199664460029142;5,61416256937301;1,44262302266821;0,184321617052407;0,912172177062779;-4,46002804463043;"ENSMUSG00000005609.17";" Ctr9"
"767";0,0805775438862568;10,1532313206263;0,923339159023333;0,380851872360315;0,912172177062779;-4,67985177071276;"ENSMUSG00000005610.18";" Eif4g2"
"768";-0,237092271986124;3,2664641056525;-0,445821298343395;0,666669468654056;0,941752589281836;-4,7116457806555;"ENSMUSG00000005611.16";" Irag1"
"769";0,013098791999731;6,67711315075336;0,079503772519081;0,938439755070243;0,98883847691242;-4,87405305212761;"ENSMUSG00000005615.16";" Pcyt1a"
"770";0,102516763196838;6,16632527397785;1,22796584838173;0,251806836098486;0,912172177062779;-4,55698313662863;"ENSMUSG00000005621.12";" Zfp592"
"771";0,094957245889546;5,45389795320289;0,997274258826269;0,345694593107411;0,912172177062779;-4,64693069593836;"ENSMUSG00000005625.16";" Psmd4"
"772";0,726218107953061;2,91320474411847;0,80599621709071;0,441826835455902;0,912172177062779;-4,64548522973798;"ENSMUSG00000005628.13";" Tmod4"
"773";-0,0551508713089861;6,15641893940369;-0,390459061329125;0,705633036546723;0,94703541197693;-4,83301469889251;"ENSMUSG00000005656.10";" Snx6"
"774";-0,187031247302091;2,55074918563781;-0,973382412226867;0,356780563115578;0,912172177062779;-4,61044690225668;"ENSMUSG00000005667.9";" Mthfd2"
"775";-0,224639474878488;4,64627017488657;-0,73985767674552;0,478973223280866;0,917142079201916;-4,71170427666778;"ENSMUSG00000005672.13";" Kit"
"776";-0,18278918573447;2,13607609819287;-0,616635082334499;0,553347053962442;0,926960659125359;-4,65516328117759;"ENSMUSG00000005674.10";" Tomm40l"
"777";-0,0988180068250246;1,07575981313832;-0,344241952137352;0,738880135766777;0,956388476870967;-4,65012779793355;"ENSMUSG00000005681.13";" Apoa2"
"778";0,208065209461314;5,26202698350719;1,23885349113896;0,247944283111425;0,912172177062779;-4,55003810295783;"ENSMUSG00000005682.10";" Pan2"
"779";0,151868548067094;8,4763199180766;1,25667172525959;0,241728671879892;0,912172177062779;-4,54475803583702;"ENSMUSG00000005683.9";" Cs"
